Thu 6/11/2011 8:00 AM,Cownie,Lower,117,Ames British Foods Hurricanes,TOURNAMENT
Thu 6/11/2011 8:00 AM,Cownie,Lower,118,Rock Valley PT Eagles,TOURNAMENT
Thu 6/11/2011 8:00 AM,Cownie,Lower,119,Messi Heads,TOURNAMENT
Thu 6/11/2011 8:00 AM,Cownie,Lower,120,Midnight Mojos,TOURNAMENT
Thu 6/11/2011 8:00 AM,Cownie,Lower,121,Northwest,TOURNAMENT
Thu 6/11/2011 8:00 AM,Cownie,Lower,122,Strikers,TOURNAMENT
Thu 4/14/2011 6:00 PM,Cownie Field 1,Middle,35,Carlisle Pride,Pulse
Tue 4/19/2011 6:00 PM,Cownie Field 1,Upper,2,Global Reach Hurricanes,Celtics I
Thu 4/21/2011 6:00 PM,Cownie Field 1,Lower,67,Midnight Mojos,Rock Valley PT Eagles
Tue 4/26/2011 6:00 PM,Cownie Field 1,Upper,3,Celtics I,Johnston
Thu 4/28/2011 6:00 PM,Cownie Field 1,Upper,26,Red Star,TST United
Tue 5/3/2011 6:00 PM,Cownie Field 1,Upper,4,Recipe,Celtics I
Thu 5/5/2011 6:00 PM,Cownie Field 1,Upper,7,Celtics I,United West
Tue 5/10/2011 6:00 PM,Cownie Field 1,Middle,38,Celtics II,Clockwork Orange
Wed 5/11/2011 6:00 PM,Cownie Field 1,Lower,69,Strikers,Rock Valley PT Eagles
Tue 5/17/2011 6:00 PM,Cownie Field 1,Middle,56,Pulse,FC Des Moines
Thu 5/19/2011 6:00 PM,Cownie Field 1,Lower,71,Northwest,Messi Heads
Tue 5/24/2011 6:00 PM,Cownie Field 1,Lower,65,Ames British Foods Hurricanes,Strikers
Thu 5/26/2011 6:00 PM,Cownie Field 1,Upper,11,Red Star,FC United
Tue 5/31/2011 6:00 PM,Cownie Field 1,Middle,46,Clockwork Orange,FC Des Moines
Wed 6/1/2011 6:00 PM,Cownie Field 1,Upper,16,Global Reach Hurricanes,Red Star
Tue 6/7/2011 6:00 PM,Cownie Field 1,Lower,79,Strikers,Messi Heads
Thu 6/9/2011 6:00 PM,Cownie Field 1,Middle,40,Celtics II,Dublin Bay Hurricanes
Tue 4/19/2011 6:00 PM,Cownie Field 2,Upper,24,TST United,Recipe
Thu 4/21/2011 6:00 PM,Cownie Field 2,Upper,20,Red Star,Johnston
Tue 4/26/2011 6:00 PM,Cownie Field 2,Upper,25,Recipe,United West
Thu 4/28/2011 6:00 PM,Cownie Field 2,Lower,64,Northwest,Ames British Foods Hurricanes
Tue 5/3/2011 6:00 PM,Cownie Field 2,Middle,55,FC Des Moines,Metros
Thu 5/5/2011 6:00 PM,Cownie Field 2,Middle,52,Dublin Bay Hurricanes,Pulse
Tue 5/10/2011 6:00 PM,Cownie Field 2,Upper,28,TST United,United West
Tue 5/17/2011 6:00 PM,Cownie Field 2,Upper,13,United West,FC United
